ts,open,high,low,close,volume,turnover,datetime
1750608000000,1.9345,1.9617,1.9289,1.9605,3516667.63,6837631.671958,2025-06-22 16:00:00+00:00
1750611600000,1.9605,1.9822,1.9555,1.9762,3064762.81,6034792.72772,2025-06-22 17:00:00+00:00
1750615200000,1.9762,1.9836,1.9634,1.9645,1422282.55,2808353.807596,2025-06-22 18:00:00+00:00
1750618800000,1.9645,1.9685,1.9535,1.9642,1410148.95,2763706.388908,2025-06-22 19:00:00+00:00
1750622400000,1.9642,1.9803,1.9084,1.968,7489289.49,14507987.512328,2025-06-22 20:00:00+00:00
1750626000000,1.968,1.9771,1.955,1.9591,2483933.21,4892320.952032,2025-06-22 21:00:00+00:00
1750629600000,1.9591,2.0165,1.9429,2.0161,5957882.36,11810924.769298,2025-06-22 22:00:00+00:00
1750633200000,2.0161,2.0232,2.006,2.0172,3901505.55,7862317.286926,2025-06-22 23:00:00+00:00
1750636800000,2.0172,2.0327,2.0106,2.0167,1999697.94,4039340.309565,2025-06-23 00:00:00+00:00
1750640400000,2.0167,2.0226,2.0038,2.0222,967264.19,1945769.206181,2025-06-23 01:00:00+00:00
1750644000000,2.0222,2.0241,2.0116,2.0165,940450.47,1897757.031985,2025-06-23 02:00:00+00:00
1750647600000,2.0165,2.0254,2.0119,2.0183,997351.29,2013751.81228,2025-06-23 03:00:00+00:00
1750651200000,2.0183,2.0267,2.0126,2.0217,864093.89,1745867.575401,2025-06-23 04:00:00+00:00
1750654800000,2.0217,2.0327,2.0173,2.0312,1588124.65,3215540.493096,2025-06-23 05:00:00+00:00
1750658400000,2.0312,2.0354,2.0106,2.0224,2226086.7,4502276.628825,2025-06-23 06:00:00+00:00
1750662000000,2.0224,2.0317,2.0138,2.0237,1514121.18,3061235.625474,2025-06-23 07:00:00+00:00
1750665600000,2.0237,2.0279,2.0128,2.0198,972200.66,1964496.644333,2025-06-23 08:00:00+00:00
1750669200000,2.0198,2.0205,2.0047,2.0079,1222608.12,2457732.420981,2025-06-23 09:00:00+00:00
1750672800000,2.0079,2.0082,1.9866,1.9946,2209091.62,4412573.118697,2025-06-23 10:00:00+00:00
1750676400000,1.9946,2.0036,1.9903,2.0014,1631217.14,3257870.416246,2025-06-23 11:00:00+00:00
1750680000000,2.0014,2.0202,1.9956,2.02,1428287.54,2867521.29222,2025-06-23 12:00:00+00:00
1750683600000,2.02,2.035,1.986,2.0289,3784842.48,7618279.846932,2025-06-23 13:00:00+00:00
1750687200000,2.0289,2.039,2.0126,2.0192,2877316.49,5825727.880504,2025-06-23 14:00:00+00:00
1750690800000,2.0192,2.0296,1.9945,1.9987,2865282.35,5751547.959206,2025-06-23 15:00:00+00:00
1750694400000,1.9987,2.0007,1.9612,1.9723,4335044.17,8575901.272784,2025-06-23 16:00:00+00:00
1750698000000,1.9723,2.0524,1.9659,2.0279,5777915.44,11643732.595103,2025-06-23 17:00:00+00:00
