date,open,high,low,close
2022-06-22,44.10270254490894,44.66279996676303,43.56192289212303,43.890254974365234
2022-06-23,43.87093840951873,43.928880662093114,41.29256526862462,42.25824737548828
2022-06-24,42.79902786378834,44.63382521954798,42.49000990463919,44.50828552246094
2022-06-27,45.15529169774374,45.5319107971327,44.47931719988217,45.213233947753906
2022-06-28,45.81195557206778,46.1113183366462,44.24755166728945,44.46000289916992
2022-06-29,44.82696275058067,44.933188374391,42.58658050147455,43.21427536010742
2022-06-30,42.25824116790702,42.79902439447415,41.186337281126434,41.91059875488281
2022-07-01,41.49535599638609,42.258241963428205,40.70349706487494,42.1133918762207
2022-07-05,40.819381776732726,40.867665143754664,39.312916412668656,40.046836853027344
2022-07-06,39.950266752319735,40.20134615688251,38.46311914380134,39.766788482666016
2022-07-07,40.98353851906649,42.33549465288457,40.98353851906649,41.84299850463867
2022-07-08,41.92991154509491,42.08442420474619,40.80006534977915,41.48569869995117
2022-07-11,40.87732423626895,41.466387211001745,40.57796146514786,40.80006790161133
2022-07-12,40.471736804249936,41.871976590871434,40.19168811016866,40.99320602416992
2022-07-13,40.539332468792125,42.25824535813982,40.46207981949911,41.881629943847656
2022-07-14,40.520017706309844,40.703499652401504,39.679875358988234,40.64555740356445
2022-07-15,41.41809818093916,41.50500970365381,40.18202646569461,41.43741226196289
2022-07-18,42.490006988511226,43.291524797647384,41.95888263791172,42.13270568847656
2022-07-19,42.316186222198425,43.310837533401234,42.016823467002666,43.26255416870117
2022-07-20,43.23358333892556,43.610198727402114,42.57691928791562,43.368778228759766
2022-07-21,43.281869767338655,43.53294916662872,42.13270943857413,43.41706466674805
2022-07-22,43.7357399712096,44.237895068271314,41.92025672549178,42.23893356323242
2022-07-25,42.86661865766962,43.74538903329276,42.31618027314655,43.677791595458984
2022-07-26,43.65848615677539,44.189610566501194,43.05976429583637,43.61020278930664
2022-07-27,43.85161674183114,45.290484453092205,43.20461161033932,45.08768844604492
2022-07-28,45.531907677051564,46.13062948432348,44.29583221469682,45.425682067871094
2022-07-29,45.8698968442317,46.70038398702754,45.174604597465944,46.584503173828125
2022-08-01,46.207883680839934,46.28514001148807,45.38705542851886,46.092002868652344
2022-08-02,45.69607493835303,46.18857485353068,44.807649208378415,45.473968505859375
2022-08-03,45.78298501110165,45.85058245867038,44.90421450892356,45.30979919433594
2022-08-04,45.52224756732053,46.49758842188791,44.80764497101242,45.763668060302734
2022-08-05,45.329117761332256,47.18322936262669,45.029758659280084,46.80661392211914
2022-08-08,47.357053962161075,48.01371812499349,47.03837708146957,47.21220016479492
2022-08-09,47.36669974200003,47.743315119703915,46.912831722508244,47.58880615234375
2022-08-10,48.23582046087278,49.41395008930096,48.08131147597475,49.27875518798828
2022-08-11,49.86782351991081,50.89144788162479,49.63606187666777,49.68434524536133
2022-08-12,49.66502027189885,50.96868935971546,49.53948059379269,50.68864440917969
2022-08-15,49.36566158610943,49.95472818092803,48.680028267195894,49.88713073730469
2022-08-16,50.360310134567285,50.727266586580356,50.18648710623102,50.32168197631836
2022-08-17,49.54915326001555,49.645720003094475,48.83454683636212,48.979400634765625
2022-08-18,49.35600992682111,50.31203308879001,49.27875359497713,50.15752410888672
2022-08-19,49.365658476724505,49.365658476724505,48.30340984345017,48.544830322265625
2022-08-22,47.79160267034371,48.67037312220481,47.44395656916184,48.07164764404297
2022-08-23,48.51586961259326,50.04164539262488,48.477241445052,49.249786376953125
2022-08-24,49.1918474750272,50.31203862350188,48.718665283675485,50.30238342285156
2022-08-25,50.881783200612084,51.63501766479761,50.447229248094246,51.61570358276367
2022-08-26,51.93438549664524,52.011641837826694,50.18650314094349,50.263755798339844
2022-08-29,49.539475807167335,50.775551021228445,49.211143846464445,49.97403335571289
2022-08-30,49.79056777752814,49.79056777752814,47.26047815657288,47.830230712890625
2022-08-31,47.5791493491818,48.05233143411107,46.98042758132295,47.44395446777344
2022-09-01,46.352728678671035,46.37204275767455,45.16494044833416,45.64778137207031
2022-09-02,46.88386675557899,47.0190616646065,45.79264491533774,46.024410247802734
2022-09-06,46.903175888997794,47.453614351237775,46.08234763724613,46.35273742675781
2022-09-07,45.86989038908967,46.9128286124685,45.271168640733734,46.767974853515625
2022-09-08,46.681074226142705,47.27014091377054,46.21754724664498,47.05768966674805
2022-09-09,47.99439889399728,48.95042206600075,47.86885919532546,48.844200134277344
2022-09-12,49.54914406670283,49.65536599086726,48.622086559739216,48.815223693847656
2022-09-13,47.443960418677264,48.332386141530016,46.864548975100305,47.03837203979492
2022-09-14,46.555529519561304,46.671414014832486,44.99112567124615,45.59950637817383
2022-09-15,45.45465590818462,45.94715583945919,44.170300637650335,44.344120025634766
2022-09-16,43.928876791458535,44.353775554877565,43.30118200379027,43.80333709716797
2022-09-19,42.92067469540183,45.66565973445471,42.82368030042357,45.48136520385742
2022-09-20,44.753896462308994,44.753896462308994,43.82273694348074,44.268917083740234
2022-09-21,44.64720779888002,45.01579322364366,43.31836511762377,43.337764739990234
2022-09-22,43.87124107149994,44.201027249025785,42.51330081705789,42.60059356689453
2022-09-23,41.320244399624066,41.368745300876796,39.758613801926735,40.3405876159668
2022-09-26,39.77801416931315,41.14565611529291,39.53552443633731,39.71011734008789
2022-09-27,40.56367881925771,41.3299471989377,40.22419470172828,40.83526611328125
2022-09-28,41.05836160947583,42.94977848580502,40.77707264321679,42.726688385009766
2022-09-29,42.54239052799085,42.61028734314386,41.03895523516154,41.941017150878906
2022-09-30,41.52393708406117,42.42599905372907,41.029256029675985,41.21355056762695
2022-10-03,42.280502390227014,44.40471073725694,42.23200519236861,44.191322326660156
2022-10-04,45.413464857471354,45.88874623615991,45.11277633625217,45.869346618652344
2022-10-05,45.161280910811485,45.98574437153562,44.45321146452039,45.71415710449219
2022-10-06,45.180685071933254,46.31553515196512,45.054589385229924,45.510467529296875
2022-10-07,45.02548858324422,45.16128593196325,44.01673417917019,44.22042465209961
2022-10-10,44.42410861153893,45.267971661446964,44.18161893167234,44.59870147705078
2022-10-11,44.18162155151367,45.14188236876953,43.58994610553875,44.18162155151367
2022-10-12,43.968233136645,44.50170972396532,43.13406799642456,44.18162155151367
2022-10-13,42.833387129260245,45.0157947690665,42.2126139926202,44.918800354003906
2022-10-14,44.938181179099246,45.03517555358845,42.716975222373115,42.84306716918945
2022-10-17,43.92942940182083,44.938187314670074,43.92942940182083,44.501705169677734
2022-10-18,45.41347488505879,45.95665319491173,44.424116374308525,45.06428909301758
2022-10-19,44.54050900478341,45.0254884340172,43.725747115766076,43.987632751464844
2022-10-20,43.861540909305,45.62686574155882,43.648148775703085,44.22042465209961
2022-10-21,44.59869350376029,46.936293451757464,44.31740463737974,46.71320343017578
2022-10-24,46.44162845616318,46.49012565622285,45.52016685463272,46.393131256103516
2022-10-25,45.772349257221194,47.3048857637417,45.62685767375452,47.22728729248047
2022-10-26,47.73166468336072,48.85681657890088,47.34368344012883,47.75106430053711
2022-10-27,47.799566168684876,48.274847585746926,47.13029596108223,47.62497329711914
2022-10-28,47.29518408256838,47.489176560531575,45.94694209587724,47.03329849243164
2022-10-31,46.742306933414554,47.411580783178486,46.4610217314414,47.04299545288086
2022-11-01,48.206941311857015,48.53672737121758,47.21758313377532,47.76076126098633
2022-11-02,47.440683054846765,47.52797949171306,44.83149530866389,44.850894927978516
2022-11-03,44.32711337575961,45.65595576010314,44.23011528560024,44.724796295166016
2022-11-04,46.81991435065452,48.65313599364079,46.56772297642926,47.9644660949707
2022-11-07,48.40094275716599,48.691929640054774,47.566777646145574,48.410640716552734
2022-11-08,48.7113315809358,49.855883248276804,47.95476120924144,49.32240295410156
2022-11-09,48.78892505662248,48.91502073188607,46.44162662535642,46.64531707763672
2022-11-10,48.74043291513031,49.303010832288,48.0129637671433,49.20601272583008
2022-11-11,50.14687234676532,51.35932088658025,49.555196867319744,49.84618377685547
2022-11-14,49.40969985466258,50.971334111982415,49.322403414809315,50.292362213134766
2022-11-15,51.155617387579476,51.155617387579476,49.89466826733019,50.71913528442383
2022-11-16,50.098364548944666,50.24385612289012,49.419392770236996,49.68128204345703
2022-11-17,48.46883611057017,49.07020945225825,48.01295434988313,49.031410217285156
2022-11-18,49.20600687358046,49.584290193527195,48.35244213876542,48.91501998901367
2022-11-21,48.43004084149689,49.458198451886595,47.886862607689295,49.38059997558594
2022-11-22,50.00137378144619,51.10712618563735,49.894677724884055,50.97133255004883
2022-11-23,50.81613749684325,51.223522089291734,50.48635137918455,51.14592361450195
2022-11-25,51.1556279939285,51.252622392474144,50.67064860100202,50.884037017822266
2022-11-28,50.19536054333905,50.41845059063095,49.1672030339907,49.27389907836914
2022-11-29,50.03047952395258,51.01013633959601,50.011079902837935,50.418460845947266
2022-11-30,51.04893730349267,52.338980700279386,50.31176647667211,52.30988311767578
2022-12-01,52.59116606685862,53.01794659665334,51.65030486924627,51.90249252319336
2022-12-02,51.14592653019312,53.26043698747105,51.03923047132419,53.14404296875
2022-12-05,53.10524260223563,53.357430254129596,50.77734007661855,50.89373779296875
2022-12-06,51.339920798729935,51.805500589770105,50.554252820043814,51.019832611083984
2022-12-07,50.87433624267578,51.660000447675415,50.6997433748761,50.87433624267578
2022-12-08,51.81519765118948,52.222582273845326,50.85494050510642,51.02953338623047
2022-12-09,51.019831122509046,51.42721574034522,49.72978784957601,49.74918746948242
